YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless),AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg,site
1/1/10,01:00:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.088,1,0.088,1,0.251,51,0.13,0,Hawaii
1/1/10,02:00:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.4,3,0.088,1,0.088,1,0.251,51,0.13,0,Hawaii
1/1/10,03:00:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.088,1,0.088,1,0.251,51,0.13,0,Hawaii
1/1/10,04:00:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.3,51,0.088,1,0.088,1,0.251,51,0.13,0,Hawaii
1/1/10,05:00:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,3,0.088,1,0.088,1,0.252,51,0.13,0,Hawaii
1/1/10,06:00:00,99,-99,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,2.2,51,0.088,1,0.088,1,0.252,51,0.13,0,Hawaii
1/1/10,07:00:00,89.6,114.4,1,83,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,24,1,27,0,24,0,10,6,16,0,10,-9900,99,-9900,99,-9900,99,2.3,51,0.088,1,0.071,1,0.252,51,0.13,0,Hawaii
1/1/10,08:00:00,83.3,117.4,166,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,40,24,105,27,27,24,73,10,374,16,30,10,-9900,99,-9900,99,-9900,99,2.3,3,0.088,1,0.071,1,0.252,51,0.13,0,Hawaii
1/1/10,09:00:00,71.2,124.1,454,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,187,24,248,27,108,24,281,10,707,16,54,10,-9900,99,-9900,99,-9900,99,2.3,51,0.088,1,0.071,1,0.252,51,0.13,0,Hawaii
1/1/10,10:00:00,60.2,133.2,702,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,489,24,838,27,73,24,489,10,838,16,73,10,-9900,99,-9900,99,-9900,99,2.2,51,0.088,1,0.071,1,0.252,51,0.13,0,Hawaii
1/1/10,11:00:00,51,145.7,889,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,585,24,630,27,189,24,652,10,900,16,87,10,-9900,99,-9900,99,-9900,99,2.2,3,0.088,1,0.071,1,0.252,51,0.13,0,Hawaii
1/1/10,12:00:00,44.8,162.4,1003,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,752,24,927,27,94,24,752,10,927,16,94,10,-9900,99,-9900,99,-9900,99,2.4,51,0.088,1,0.071,1,0.252,51,0.13,0,Hawaii
1/1/10,13:00:00,42.9,182,1037,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,780,24,932,27,96,24,780,10,932,16,96,10,-9900,99,-9900,99,-9900,99,2.5,51,0.088,1,0.071,1,0.253,51,0.13,0,Hawaii
1/1/10,14:00:00,45.8,201.3,987,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,734,24,919,27,93,24,734,10,919,16,93,10,-9900,99,-9900,99,-9900,99,2.7,3,0.088,1,0.071,1,0.253,51,0.13,0,Hawaii
1/1/10,15:00:00,52.7,217.1,857,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,545,24,673,27,137,24,620,10,885,16,84,10,-9900,99,-9900,99,-9900,99,2.7,51,0.088,1,0.071,1,0.253,51,0.13,0,Hawaii
1/1/10,16:00:00,62.3,228.9,657,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,400,24,649,27,99,24,447,10,814,16,69,10,-9900,99,-9900,99,-9900,99,2.7,51,0.088,1,0.071,1,0.253,51,0.13,0,Hawaii
1/1/10,17:00:00,73.6,237.4,399,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,192,24,358,27,91,24,236,10,660,16,49,10,-9900,99,-9900,99,-9900,99,2.6,3,0.088,1,0.071,1,0.253,51,0.13,0,Hawaii
1/1/10,18:00:00,84.8,243.4,109,1214,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,16,24,0,27,16,24,44,10,256,16,21,10,-9900,99,-9900,99,-9900,99,2.6,51,0.088,1,0.071,1,0.253,51,0.13,0,Hawaii
