Country,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,wind,cloudiness
Russia,2143.587912,448.5335417,178.456969,0.486310126,7.381209796,20.35647316,19.35171376,63.27918605,15.34518706,52.45074501,434.7292352,49.68574242,181.5754434,69.30780447,184.9978202,50.63119081,-24.74368593,9.922327688,-19.84740069,19.95267913,-6.261876315,-30.67851168,145.2214216,12.20695908,11.54956116,3.013605722,210.9908165
United States of America,638.7575393,759.2512262,166.5603824,0.529686762,19.7438699,16.72846247,32.95288154,141.8206803,28.7873624,100.5005596,671.9117326,43.41517081,198.8176868,93.48607266,249.4290178,39.05379633,-5.388305211,12.75193874,1.420302587,26.77673145,6.602248261,-12.27706488,93.46060198,18.51898364,13.57927185,3.586281662,180.2746387
Canada,3220.715175,508.2847633,169.2907919,0.397220485,3.796340492,20.58747625,19.86286345,80.93746455,19.61225206,66.22098278,453.3184227,46.83796493,161.861002,64.99570701,177.36125,45.96372379,-23.19377971,9.232453946,-19.12040969,16.42866105,-6.83168979,-29.53506274,128.9347833,9.503739868,7.64933066,3.378885862,231.4987023
Antarctica,,,,,0,,,,,,,,,,,,,,,,,,,,,,302.8078293
Indonesia,504.8848072,342.0536882,168.270799,0.909755385,13.24086609,55.4788821,84.94240233,673.0787195,136.1740296,449.847542,2728.355157,29.43656559,677.4705708,326.2162101,904.1117109,10.00434575,24.39624844,8.508099615,24.8275285,30.13380102,24.99332749,20.12945527,4.163967777,25.39201881,24.93423673,1.366647907,293.0951072
China,466.566902,1788.508668,169.0981558,0.943246708,22.18347547,11.57931347,30.94554584,34.73668628,8.319758871,30.97523809,561.2715803,89.45302999,291.043886,120.6067701,306.5845506,39.91131351,-7.043608557,12.19498435,-5.765483845,25.19088704,6.362945884,-14.72042648,98.90280353,18.39789749,17.67292216,3.241690663,191.2446609
India,91.38082383,583.1465274,176.3244957,0.520001904,64.34377274,9.07738911,44.10012236,74.19189896,3.794327212,23.849571,1110.010678,114.9534565,294.3372254,309.20875,760.3164576,27.21371722,17.68766641,11.83342982,21.13888041,37.03347763,23.96363335,9.819760411,45.54437374,29.49096201,26.08298136,2.698925158,167.3099637
Mongolia,710.3662001,1494.593363,175.1769269,0.816572192,0.877800591,2.433120377,26.88386763,6.298572765,1.58168752,6.166105098,194.7813471,105.1421754,133.3637895,55.07452647,133.3692751,50.61461846,-18.31295089,13.7957004,-16.78419982,24.10723656,-0.091585537,-26.5073819,134.8538671,16.3809064,16.36940113,3.78683795,152.6570771
Australia,845.8680185,278.031714,183.0250431,0.089268073,7.938567206,6.056155479,49.69498141,68.50573359,11.5888329,42.90343014,467.5080881,59.33697509,170.6449075,89.63447645,234.7329262,28.09456395,14.70953766,13.98006739,18.61899367,35.18607871,21.46661781,7.091514759,49.75148677,27.37467162,24.35021582,4.151111283,126.814047
Kiribati,5805.65,0.925385577,151.6202365,0,0,15.35335689,90.64992164,494.4854312,83.84292703,289.2631192,1672.919683,29.42550701,347.6011185,206.2919017,560.0284107,6.066974057,28.07640708,5.522858606,28.29231121,31.40670685,28.25695724,25.33973295,1.385760289,28.37754508,28.16727864,,223.9380054
Mexico,191.3376166,1039.715495,172.5050984,1.03146858,12.71263489,16.22337119,58.67563951,74.17182955,10.58229837,41.15442802,771.5138685,85.71436178,275.6679393,165.895391,426.6518895,25.93124079,15.32372458,15.00428074,18.71459784,32.98682745,20.34591163,7.055586665,37.3720077,24.78395809,23.46507731,2.74994688,152.8080061
Brazil,736.7297988,326.6430843,176.1375279,0.160652538,17.28233628,39.17523662,72.73447271,366.6266717,39.31327957,141.1717948,1752.792411,60.92778773,370.3704209,277.1211893,761.9858098,15.49870416,22.949019,11.10849971,23.68000754,32.01369408,24.44774936,16.51498992,10.75879482,25.62179487,24.75486118,1.963016907,218.4850954
Chile,425.8785883,1095.077168,208.2261466,1.588154415,6.389745666,22.30922269,54.73443945,349.4240795,51.87831519,174.7882393,1047.308761,60.47595362,199.6102916,140.7162405,389.8102221,18.81186342,4.653303611,10.56684351,10.19637446,18.70599026,8.598991694,-0.105873166,30.02173796,12.36452581,7.426599321,3.816059043,183.3299469
Argentina,209.2195797,682.7992532,145.0314124,0.623855295,21.9625038,8.83360958,49.85147217,79.08767549,17.18321136,60.48630463,539.8724686,48.32124188,183.1381597,79.21688648,211.7120731,26.77335546,8.023890555,13.461877,11.09496006,28.21618946,14.20719218,1.442833996,47.56007219,20.17116935,16.47762934,4.270904356,159.0065316
Mali,1821.774328,321.3376342,176.57228,0.015913345,3.441976025,1.02830754,52.51507852,3.517844042,0.057845168,0.424866868,319.2817825,131.3175093,50.56501979,103.7708084,241.678924,29.58746084,22.14257432,15.44438087,25.24398394,42.2430557,28.249699,12.65559486,44.41116404,33.468711,31.11719642,3.699002646,136.0740396
Mauritania,2458.351223,261.903271,178.0629161,0.023469677,0.128914096,0.063985764,50.36590625,3.455872247,0.025390956,0.668451173,92.70912635,117.8625648,29.78648047,33.82191752,75.91664151,30.30918936,20.78836615,15.22545325,26.09762834,42.75250099,27.6847339,12.44331163,50.2010643,33.68060839,31.85268996,4.590983852,114.9074963
Algeria,1212.799818,556.7583169,184.9747196,0.170861495,3.690864485,0.17665622,40.29895242,25.29077848,0.934992088,6.088661767,79.45606561,67.08149343,9.5086212,13.36623208,33.29410202,36.49030621,13.15155341,14.8726741,26.92107243,41.54823266,22.96394612,5.057926453,75.11026261,32.45082811,20.8132292,4.025769508,90.67439498
Libya,1627.81014,417.5592197,160.0419948,0.048745106,0.991233751,0.003623095,45.9782417,15.41488185,6.76E-04,0.208069139,29.81124283,49.61488625,0.820696664,6.737376611,16.48756072,32.78468936,13.0248538,15.21206713,23.00573697,37.61730153,21.70001683,4.83261217,62.62162165,28.93755319,17.81770305,4.219238082,61.61793676
Sudan,1351.887663,534.0332149,172.4701756,0.066834546,9.919865614,0.9163007,57.67583238,21.33772204,0.015203308,0.146940767,234.8363384,141.488704,38.70853989,78.63975264,180.2926315,27.59993168,21.55596862,15.94464454,22.70811006,39.83315431,26.76252707,12.23322263,36.80854252,30.91749336,28.97118545,3.890765255,97.14185783
Chad,1223.188455,518.4784022,197.0957927,0.111867953,3.464731883,1.653800711,56.24520918,58.38949101,0.025211448,0.165981669,318.2463704,142.1730058,41.90483877,106.2704283,237.5346067,27.27680539,21.9850421,15.34891981,23.70706342,39.96057589,26.96063198,12.6837705,36.4815226,31.22251018,28.73371816,3.960233834,115.2755415
