state,med_income
United States,59039
Alabama,47221
Alaska,75723
Arizona,57100
Arkansas,45907
California,66637
Colorado,70566
Connecticut,75923
Delaware,58046
District of Columbia,70982
Florida,51176
Georgia,53527
Hawaii,72133
Idaho,56564
Illinois,61386
Indiana,56094
Iowa,59094
Kansas,56810
Kentucky,45369
Louisiana,42196
Maine,50856
Maryland,73760
Massachusetts,72266
Michigan,57091
Minnesota,70218
Mississippi,41099
Missouri,55016
Montana,57075
Nebraska,59374
Nevada,55431
New Hampshire,76260
New Jersey,68468
New Mexico,48451
New York,61437
North Carolina,53764
North Dakota,60184
Ohio,53985
Oklahoma,50943
Oregon,59135
Pennsylvania,60979
Rhode Island,61528
South Carolina,54336
South Dakota,57450
Tennessee,51344
Texas,58146
Utah,67481
Vermont,60837
Virginia,66451
Washington,70310
West Virginia,44354
Wisconsin,59817
Wyoming,57829
