study_name,sample_number,species,region,culmen_length,culmen_depth,flipper_length,body_mass,sex
PAL0708,1,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.5,17.9,192,3500,FEMALE
PAL0708,2,Chinstrap penguin (Pygoscelis antarctica),Anvers,50,19.5,196,3900,MALE
PAL0708,3,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.3,19.2,193,3650,MALE
PAL0708,4,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.4,18.7,188,3525,FEMALE
PAL0708,5,Chinstrap penguin (Pygoscelis antarctica),Anvers,52.7,19.8,197,3725,MALE
PAL0708,6,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.2,17.8,198,3950,FEMALE
PAL0708,7,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.1,18.2,178,3250,FEMALE
PAL0708,8,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.3,18.2,197,3750,MALE
PAL0708,9,Chinstrap penguin (Pygoscelis antarctica),Anvers,46,18.9,195,4150,FEMALE
PAL0708,10,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.3,19.9,198,3700,MALE
PAL0708,11,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.6,17.8,193,3800,FEMALE
PAL0708,12,Chinstrap penguin (Pygoscelis antarctica),Anvers,51.7,20.3,194,3775,MALE
PAL0708,13,Chinstrap penguin (Pygoscelis antarctica),Anvers,47,17.3,185,3700,FEMALE
PAL0708,14,Chinstrap penguin (Pygoscelis antarctica),Anvers,52,18.1,201,4050,MALE
PAL0708,15,Chinstrap penguin (Pygoscelis antarctica),Anvers,45.9,17.1,190,3575,FEMALE
PAL0708,16,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.5,19.6,201,4050,MALE
PAL0708,17,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.3,20,197,3300,MALE
PAL0708,18,Chinstrap penguin (Pygoscelis antarctica),Anvers,58,17.8,181,3700,FEMALE
PAL0708,19,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.4,18.6,190,3450,FEMALE
PAL0708,20,Chinstrap penguin (Pygoscelis antarctica),Anvers,49.2,18.2,195,4400,MALE
PAL0708,21,Chinstrap penguin (Pygoscelis antarctica),Anvers,42.4,17.3,181,3600,FEMALE
PAL0708,22,Chinstrap penguin (Pygoscelis antarctica),Anvers,48.5,17.5,191,3400,MALE
PAL0708,23,Chinstrap penguin (Pygoscelis antarctica),Anvers,43.2,16.6,187,2900,FEMALE
PAL0708,24,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.6,19.4,193,3800,MALE
PAL0708,25,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.7,17.9,195,3300,FEMALE
PAL0708,26,Chinstrap penguin (Pygoscelis antarctica),Anvers,52,19,197,4150,MALE
PAL0809,27,Chinstrap penguin (Pygoscelis antarctica),Anvers,50.5,18.4,200,3400,FEMALE
PAL0809,28,Chinstrap penguin (Pygoscelis antarctica),Anvers,49.5,19,200,3800,MALE
PAL0809,29,Chinstrap penguin (Pygoscelis antarctica),Anvers,46.4,17.8,191,3700,FEMALE
PAL0809,30,Chinstrap penguin (Pygoscelis antarctica),Anvers,52.8,20,205,4550,MALE
PAL0809,31,Chinstrap penguin (Pygoscelis antarctica),Anvers,40.9,16.6,187,3200,FEMALE
PAL0809,32,Chinstrap penguin (Pygoscelis antarctica),Anvers,54.2,20.8,201,4300,MALE
