caseid,make_get_guns,gender,ideology,trust_in_gov,religion,race
4716,More Difficult,Male,Extremely Liberal,Never,Once Daily,White
3104,More Difficult,Female,Conservative,,Several Times Daily,White
5595,More Difficult,Male,Slightly Conservative,Half of the Time,Once Daily,White
6034,More Difficult,Male,Slightly Liberal,,Several Times Daily,White
834,More Difficult,Female,,Half of the Time,Few Times A Week,Hispanic
4826,More Difficult,Female,Moderate,Half of the Time,Once A Week Or Less,Black
4203,More Difficult,Male,Moderate,,Several Times Daily,White
1700,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,Black
6413,More Difficult,Male,Moderate,Some of the Time,Once Daily,White
4156,More Difficult,Female,Liberal,,Never,White
318,More Difficult,Female,Slightly Liberal,Some of the Time,Several Times Daily,Hispanic
6056,More Difficult,Female,Slightly Liberal,,Once A Week Or Less,White
2020,More Difficult,Female,Extremely Liberal,Half of the Time,Never,White
234,More Difficult,Male,Slightly Conservative,Some of the Time,Never,White
5580,More Difficult,Male,Liberal,,Never,White
4917,More Difficult,Female,Conservative,Some of the Time,Several Times Daily,Black
3680,More Difficult,Male,Liberal,Some of the Time,,White
3655,More Difficult,Female,Slightly Liberal,Most Of The Time,Several Times Daily,White
4125,More Difficult,Female,Moderate,Some of the Time,Few Times A Week,White
3985,More Difficult,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,White
4214,More Difficult,Male,Conservative,,Few Times A Week,White
4866,More Difficult,Male,Extremely Liberal,,Never,White
5059,More Difficult,Male,Conservative,Some of the Time,Several Times Daily,White
3988,More Difficult,Male,Slightly Conservative,Some of the Time,Once A Week Or Less,White
1730,More Difficult,Female,Extremely Liberal,Half of the Time,Once A Week Or Less,White
1558,More Difficult,Female,Moderate,Most Of The Time,Several Times Daily,White
6789,More Difficult,Male,Conservative,,Several Times Daily,Hispanic
720,More Difficult,Female,Slightly Conservative,Half of the Time,Once Daily,White
4216,More Difficult,Male,Moderate,Half of the Time,Never,White
3089,More Difficult,Male,Moderate,,Once Daily,White
196,More Difficult,Female,,Some of the Time,Several Times Daily,Hispanic
4095,More Difficult,Female,Moderate,,Once Daily,Hispanic
5210,More Difficult,Male,Slightly Liberal,Some of the Time,Never,White
4070,More Difficult,Female,Liberal,Most Of The Time,Several Times Daily,Black
2034,More Difficult,Male,Moderate,Some of the Time,Several Times Daily,White
5328,More Difficult,Female,Conservative,,Once A Week Or Less,White
4789,More Difficult,Female,Liberal,Most Of The Time,Several Times Daily,Black
2040,More Difficult,Female,,,Never,White
6800,More Difficult,Female,Conservative,,Several Times Daily,Hispanic
740,More Difficult,Female,Moderate,,Once Daily,Black
5201,More Difficult,Male,Liberal,,Few Times A Week,White
1460,More Difficult,Female,Slightly Conservative,,Few Times A Week,Hispanic
4013,More Difficult,Male,Conservative,,Several Times Daily,Black
2054,More Difficult,Female,Slightly Liberal,Some of the Time,Several Times Daily,White
5036,More Difficult,Male,Slightly Liberal,Some of the Time,Once A Week Or Less,White
298,More Difficult,Male,Liberal,,Once Daily,Other
3613,More Difficult,Male,Moderate,,Never,Hispanic
508,More Difficult,Male,,Most Of The Time,Never,Hispanic
5766,More Difficult,Female,Liberal,,Never,White
3335,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
151,More Difficult,Male,Moderate,,Several Times Daily,Hispanic
5356,More Difficult,Male,Liberal,,Never,Other
1189,More Difficult,Female,Moderate,,Several Times Daily,Other
6171,More Difficult,Male,Liberal,,Once A Week Or Less,Hispanic
1380,More Difficult,Female,,Most Of The Time,Several Times Daily,Black
1419,More Difficult,Male,Extremely Liberal,,Several Times Daily,Black
3890,More Difficult,Female,Slightly Liberal,,Once A Week Or Less,White
695,More Difficult,Female,Liberal,,Once A Week Or Less,Hispanic
498,More Difficult,Male,,,Once Daily,Black
6782,More Difficult,Male,Slightly Liberal,,Never,Black
326,More Difficult,Male,Slightly Conservative,Some of the Time,Never,White
4181,More Difficult,Male,Liberal,,Once Daily,Hispanic
3301,More Difficult,Male,Conservative,,Several Times Daily,Hispanic
3034,More Difficult,Female,Slightly Liberal,,Never,White
1316,More Difficult,Male,,Half of the Time,Once Daily,Black
1977,More Difficult,Male,,,Several Times Daily,Black
4041,More Difficult,Female,Moderate,,Several Times Daily,White
651,More Difficult,Female,,Half of the Time,Several Times Daily,Black
4219,More Difficult,Male,Moderate,,Never,White
1720,More Difficult,Male,Conservative,,Once Daily,White
1760,More Difficult,Female,,,Several Times Daily,Black
6431,More Difficult,Female,Moderate,,,White
5937,More Difficult,Female,Moderate,Some of the Time,Once Daily,White
6480,More Difficult,Male,Moderate,,Once Daily,Black
6106,More Difficult,Female,Moderate,Some of the Time,Once A Week Or Less,White
3064,More Difficult,Female,,Half of the Time,Once A Week Or Less,White
4565,More Difficult,Female,Liberal,Half of the Time,Once A Week Or Less,White
5027,More Difficult,Female,Conservative,,Several Times Daily,Black
6427,More Difficult,Female,Moderate,,Few Times A Week,White
5834,More Difficult,Male,Conservative,,Few Times A Week,Hispanic
4457,More Difficult,Female,Conservative,,Several Times Daily,Other
6721,More Difficult,Male,Moderate,Some of the Time,Once Daily,Black
3842,More Difficult,Female,Conservative,,Once Daily,White
3925,More Difficult,Male,Conservative,Some of the Time,Several Times Daily,White
1170,More Difficult,Female,,,Few Times A Week,Black
1339,More Difficult,Male,,Most Of The Time,Few Times A Week,Black
3087,More Difficult,Female,Extremely Liberal,Most Of The Time,Never,Hispanic
702,More Difficult,Female,,,Once Daily,Black
3435,More Difficult,Male,Moderate,Half of the Time,Several Times Daily,Hispanic
1662,More Difficult,Female,,,Several Times Daily,Black
241,More Difficult,Female,,,Once Daily,White
3102,More Difficult,Female,Liberal,,Few Times A Week,Other
1807,More Difficult,Female,Moderate,,Once Daily,Black
4109,More Difficult,Male,Extremely Liberal,,Never,White
5464,More Difficult,Female,Moderate,,Several Times Daily,White
6521,More Difficult,Female,Slightly Liberal,Some of the Time,Few Times A Week,White
3110,More Difficult,Female,Slightly Liberal,,Few Times A Week,White
4094,More Difficult,Male,Extremely Liberal,Half of the Time,Never,Black
1193,More Difficult,Female,Moderate,Half of the Time,Several Times Daily,Black
1536,More Difficult,Female,Liberal,Most Of The Time,Few Times A Week,White
3119,More Difficult,Male,Slightly Conservative,,Never,White
1846,More Difficult,Male,,,Few Times A Week,Hispanic
