year,salmon_fresh
1990,35946.86657
1991,39709.15322
1992,48843.22404
1993,62864.65523
1994,68252.01947
1995,80211.52282
1996,88018.52143
1997,98719.25617
1998,107302.0061
1999,114614.5036
2000,119365.9711
2001,132600.9717
2002,149083.3651
2003,132801.0346
2004,121723.9091
2005,142244.1493
2006,171848.4066
2007,178777.6548
2008,182928.6912
2009,198259.8376
2010,203912.6913
2011,192231.2172
2012,222312.8766
2013,190426.593
2014,172282.7722
2015,236674.1194
2016,239287.6084
2017,262434.1993
