City,Price,Bedrooms,Bathrooms,SqFt,PricePerSqFt,Status
Arroyo Grande,795000,3,3,2371,335.3,Short Sale
Paso Robles,399000,4,3,2818,141.59,Short Sale
Paso Robles,545000,4,3,3032,179.75,Short Sale
Morro Bay,909000,4,4,3540,256.78,Short Sale
Santa Maria-Orcutt,109900,3,1,1249,87.99,Short Sale
Oceano,324900,3,3,1800,180.5,Short Sale
Santa Maria-Orcutt,192900,4,2,1603,120.34,Short Sale
Santa Maria-Orcutt,215000,3,2,1450,148.28,Short Sale
Morro Bay,999000,4,3,3360,297.32,Short Sale
Atascadero,319000,3,2,1323,241.12,Short Sale
Santa Maria-Orcutt,350000,3,2,1750,200,Short Sale
Santa Maria-Orcutt,249000,3,2,1400,177.86,Short Sale
Arroyo Grande,299000,2,2,1257,237.87,Short Sale
Santa Maria-Orcutt,235900,3,2,1400,168.5,Short Sale
Santa Maria-Orcutt,348000,3,2,1600,217.5,Short Sale
Paso Robles,314000,4,3,1794,175.03,Short Sale
Los Alamos,399000,4,2,1850,215.68,Short Sale
San Miguel,599000,3,3,2950,203.05,Short Sale
Paso Robles,299000,3,2,1719,173.94,Short Sale
San Luis Obispo,425000,3,3,1472,288.72,Short Sale
Morro Bay,1100000,4,3,4168,263.92,Short Sale
Cayucos,1500000,3,3,3880,386.6,Short Sale
Santa Maria-Orcutt,110000,2,1,1000,110,Short Sale
Santa Maria-Orcutt,200000,3,2,1139,175.59,Short Sale
Santa Maria-Orcutt,134900,3,1,1080,124.91,Short Sale
Santa Maria-Orcutt,250000,4,3,2000,125,Short Sale
Pismo Beach,950000,3,4,1920,494.79,Short Sale
Santa Maria-Orcutt,239950,4,2,1348,178,Short Sale
Santa Maria-Orcutt,170000,3,2,1280,132.81,Short Sale
Santa Maria-Orcutt,285000,3,2,2400,118.75,Short Sale
Santa Maria-Orcutt,279000,3,3,1700,164.12,Short Sale
Santa Maria-Orcutt,219000,3,2,1600,136.88,Short Sale
Santa Maria-Orcutt,155000,3,2,1050,147.62,Short Sale
Atascadero,389000,3,2,1415,274.91,Short Sale
Nipomo,340000,3,1,1110,306.31,Short Sale
Guadalupe,95000,2,1,797,119.2,Short Sale
Santa Maria-Orcutt,140000,2,2,1100,127.27,Short Sale
Pismo Beach,1100000,3,3,2602,422.75,Short Sale
Santa Maria-Orcutt,360000,4,3,2351,153.13,Short Sale
Morro Bay,415000,3,3,1350,307.41,Short Sale
Santa Maria-Orcutt,250000,4,2,1206,207.3,Short Sale
Santa Maria-Orcutt,559000,3,3,2628,212.71,Short Sale
Nipomo,525000,3,3,2365,221.99,Short Sale
Los Osos,779000,3,3,2990,260.54,Short Sale
Arroyo Grande,595000,3,2,1750,340,Short Sale
Templeton,1150000,4,5,5500,209.09,Short Sale
Templeton,550000,3,2,1852,296.98,Short Sale
Grover Beach,500000,3,2,2100,238.1,Short Sale
Santa Maria-Orcutt,279000,4,3,2580,108.14,Short Sale
Santa Maria-Orcutt,375000,4,2,1963,191.03,Short Sale
Santa Maria-Orcutt,330000,3,3,1900,173.68,Short Sale
Santa Maria-Orcutt,199000,3,3,1450,137.24,Short Sale
Santa Maria-Orcutt,165000,2,2,1000,165,Short Sale
Templeton,1399000,4,3,6500,215.23,Foreclosure
Santa Maria-Orcutt,255000,3,2,1218,209.36,Short Sale
Cambria,325000,2,2,893,363.94,Short Sale
Morro Bay,789000,3,3,2100,375.71,Foreclosure
Nipomo,498000,4,3,2341,212.73,Short Sale
Nipomo,430000,4,2,2168,198.34,Short Sale
Paso Robles,539900,4,3,3032,178.07,Short Sale
Pismo Beach,499000,3,2,1293,385.92,Short Sale
Los Osos,275000,3,2,1200,229.17,Short Sale
Santa Maria-Orcutt,499000,3,4,2250,221.78,Short Sale
Morro Bay,899000,3,3,2430,369.96,Foreclosure
Morro Bay,1045000,3,3,2100,497.62,Foreclosure
Morro Bay,774000,2,2,1550,499.35,Foreclosure
Santa Maria-Orcutt,239000,3,3,1800,132.78,Short Sale
Santa Maria-Orcutt,195000,3,2,1218,160.1,Short Sale
Grover Beach,325000,2,1,768,423.18,Short Sale
Nipomo,320000,4,2,1929,165.89,Short Sale
Santa Maria-Orcutt,275000,4,3,1877,146.51,Short Sale
Paso Robles,329000,3,2,1700,193.53,Short Sale
Santa Maria-Orcutt,140000,3,2,1080,129.63,Short Sale
Paso Robles,409000,4,3,2192,186.59,Short Sale
Santa Maria-Orcutt,167900,3,2,1296,129.55,Foreclosure
Nipomo,325000,7,5,2688,120.91,Short Sale
Santa Maria-Orcutt,119000,1,1,900,132.22,Short Sale
Santa Maria-Orcutt,245000,4,2,1482,165.32,Short Sale
Santa Maria-Orcutt,259900,3,2,1726,150.58,Short Sale
Arroyo Grande,495000,3,2,1486,333.11,Short Sale
San Luis Obispo,399000,4,2,1543,258.59,Short Sale
Santa Maria-Orcutt,329700,4,2,1367,241.19,Short Sale
Atascadero,199000,1,1,712,279.49,Short Sale
Santa Maria-Orcutt,149000,3,2,1040,143.27,Short Sale
Paso Robles,225000,3,2,1456,154.53,Short Sale
Santa Maria-Orcutt,195000,2,1,811,240.44,Short Sale
Paso Robles,359900,3,3,1951,184.47,Short Sale
Templeton,799000,4,4,3100,257.74,Short Sale
San Luis Obispo,595000,3,2,2117,281.06,Short Sale
